ࢵ,ٯ
أ,ا
إ,ا
ٱ,ا
آ,ا
ب,ٮ
ٻ,ٮ
پ,ٮ
ة,ه
ت,ٮ
ث,ٮ
ج,ح
خ,ح
چ,ح
ڊ,د
ذ,د
ڔ,ر
ز,ر
ژ,ر
ڛ,س
ݜ,س
ش,س
ض,ص
ظ,ط
غ,ع
ف,ڡ
ڢ,ڡ
ڣ,ڡ
ڥ,ڡ
ڤ,ڡ
ق,ٯ
ڧ,ٯ
ڨ,ٯ
ك,ک
گ,ک
ن,ں
ڹ,ں
ؤ,و
ي,ى
ئ,ى
ݥ,م
